description,price,rank,link,other_name,g3d_mark,name
,,38,http://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X300SE&id=1765,"ASUS EAX300 SE, ASUS Extreme AX300, ASUS Extreme AX300 Secondary, ASUS Extreme AX300 Series, ASUS Extreme AX300 Series Secondary, ASUS Extreme AX300SE/T, ASUS X300 Series, ATI Radeon X300/X550/X1050 Series, ATI Radeon X300/X550/X1050 Series Secondary, Diamond X300SEHM-PCIE 128MB, Diamond X300SEHM-PCIE 256MB, RADEON Radeon X300/X550/X1050 Series, RADEON X300 SE 128MB HyperMemory, RADEON X300 SE 128MB HyperMemory Secondary, RADEON X300 Series, RADEON X300 Series Secondary, Radeon X300/X550/X1050 Series, SAPPHIRE RADEON X300SE, SAPPHIRE RADEON X300SE - Secondary, SAPPHIRE RADEON X300SE 128MB - Secondary, SAPPHIRE RADEON X300SE PCI-E, Tul Corporation, RADEON X300SE, VisionTek Radeon X300 SE Hypermemory, VisionTek XTASY X300 SE Hypermemory",NA,RADEON X300SE
"Bus Interface: AGP 8x,PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 575 MHz, Memory Clock(s): 690 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 66 W",,110,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1950+Pro&id=1764,"Radeon X1950 Pro, Radeon X1950 Pro (Omega 3.8.421), Radeon X1950 Pro (Omega 3.8.442), Radeon X1950 Pro Secondary, VisionTek RADEON X1950 Pro XGE",NA,Radeon X1950 Pro
"Bus Interface: AGP 8x,PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 500 MHz, Memory Clock(s): 600 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 57 W",,110,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1950+GT&id=615,ATI Radeon X1950 GT,NA,Radeon X1950 GT
"Bus Interface: PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 650 MHz, Memory Clock(s): 1000 MHz, Graphics API Support: DirectX 9.0c OpenGL 2",,151,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1950+CrossFire+Edition&id=1763,"Radeon X1950 CrossFire Edition, Radeon X1950 CrossFire Edition Secondary",NA,Radeon X1950 CrossFire Edition
"Bus Interface: PCI-E x16, Max Memory Size: 256 MB, Core Clock(s): 575 MHz, Memory Clock(s): 600 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 75 W",,145,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1900+GT&id=1762,"Radeon X1900 GT, Radeon X1900 GT Secondary",NA,Radeon X1900 GT
"Bus Interface: PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 625 MHz, Memory Clock(s): 725 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 100 W",,153,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1900+CrossFire+Edition&id=1761,"Radeon X1900 CrossFire Edition, Radeon X1900 CrossFire Edition Secondary",NA,Radeon X1900 CrossFire Edition
"Bus Interface: PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 500 MHz, Memory Clock(s): 495 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 48 W",,137,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1800+GTO&id=1760,"Radeon X1800 GTO, Radeon X1800 GTO Secondary",NA,Radeon X1800 GTO
,,116,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1700+Targa+Edition&id=2206,Radeon X1700 Targa Edition,NA,Radeon X1700 Targa Edition
,,71,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1650+SE&id=1757,Radeon X1650 SE,NA,Radeon X1650 SE
"Bus Interface: AGP 8x,PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 600 MHz, Memory Clock(s): 700 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 44 W",,82,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1650+Pro&id=614,"ASUS X1650 Series, ATI Radeon X1650 Pro, Radeon X1650 Series, VisionTek Radeon X1650 Pro",0.51,Radeon X1650 Pro
"Bus Interface: AGP 8x,PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 590 MHz, Memory Clock(s): 780 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 42 W",,110,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1600+XT&id=2493,"Radeon X1600 Series, Sapphire RADEON X1600 XT, VisionTek Radeon X1600 XT, VisionTek Radeon X1600XT XGE",NA,Radeon X1600 XT
"Bus Interface: AGP 8x,PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 500 MHz, Memory Clock(s): 390 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 41 W",,96,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1600+Pro&id=2494,"ASUS X1600 Series, ASUS X1600Pro, Diamond X1600 PRO 512MB AGP, Diamond X1600 PRO 512MB PCI-E, GIGABYTE Radeon X1600 PRO, GIGABYTE Radeon X1600 PRO Secondary, GIGABYTE Radeon X1600 Series, GIGABYTE Radeon X1600 Series Secondary, Radeon X1600 Series, Radeon X1600 Series (Omega 3.8.421), Radeon X1600/X1650 Series, Sapphire RADEON X1600 PRO, Sapphire RADEON X1600 PRO Secondary, VisionTek Radeon X1600 Pro",NA,Radeon X1600 Pro
,,44,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1600&id=1753,Radeon X1600,NA,Radeon X1600
,,44,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1550+64-bit&id=1752,"Radeon X1550 64-bit, Radeon X1550 64-bit Secondary",NA,Radeon X1550 64-bit
"Bus Interface: AGP 8x, PCI, PCI-E x16, Max Memory Size: 512 MB, Core Clock(s): 550 MHz, Memory Clock(s): 400 MHz, Graphics API Support: DirectX 9.0c OpenGL 2 Max TDP: 27 W",,63,http://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1550&id=613,"ASUS Radeon X1550, ASUS X1550 Series, ATI Radeon X1550, ATI Radeon X1550 Secondary, Connect3D Radeon X1550, Diamond Radeon X1550, GeCube Radeon X1550, GIGABYTE Radeon X1550, HIS Radeon X1550, MSI Radeon X1550, Radeon X1300 / X1550 Series, Radeon X1550 (support up to 512MB HM)",0.56,Radeon X1550
