memoria_max_meret,name,videokartya_memoria,processzor_orajel,memoria_foglalat,price,oprend,processzor_tipusa,memoria_tipusa,kijelzo_felbontas,link,videokartya_model,memoria_merete,videokartya_tipusa,processzor_modell,memoria_max_seb,kijelzo_meret
8 GB,<title>Lenovo IdeaPad 100 80QQ00F4HV Notebook Árak - Lenovo IdeaPad 100 80QQ00F4HV Laptop Akció</title>,2 GB,2 GHz,1,"
          129 899 Ft
        ",Operációs rendszer nélkül,Intel Core i3,DDR3,1366 x 768,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-100-80qq00f4hv-p327644203/,Nvidia GeForce 920M,4 GB,Dedikált,5005U,1600 MHz,"15.6"""
,<title>Dell Inspiron 3567 INSP3567-12 Notebook Árak - Dell Inspiron 3567 INSP3567-12 Laptop Akció</title>,2 GB,2.7 GHz,,"
          208 900 Ft-tól
      ",Linux,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/inspiron-3567-insp3567-12-p381374257/,Radeon R5 M430,8 GB,Dedikált,7500U,2400 MHz,"15,6"""
,<title>Dell Vostro 5568 N051VN5568EMEA01_1805_HOM Notebook Árak - Dell Vostro 5568 N051VN5568EMEA01_1805_HOM Laptop Akció</title>,,2.5 GHz,,"
          287 503 Ft-tól
      ",Windows 10 Home,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/vostro-5568-n051vn5568emea01-1805-hom-p393024817/,GeForce 940 MX,8 GB,Dedikált,7200U,,"15,6"""
,<title>ASUS VivoBook 15 X542UN-GQ157 Notebook Árak - ASUS VivoBook 15 X542UN-GQ157 Laptop Akció</title>,,1.6 GHz,,"
          199 873 Ft-tól
      ",Endless OS,Intel Core i5,DDR4,1366 x 768,https://www.arukereso.hu/notebook-c3100/asus/vivobook-15-x542un-gq157-p397958215/,GeForce MX150,4 GB,Dedikált,8250U,2400 MHz,"15.6"""
,<title>Lenovo IdeaPad Yoga 510 80VB0094HV Notebook Árak - Lenovo IdeaPad Yoga 510 80VB0094HV Laptop Akció</title>,2 GB,2.7 GHz,,"261 900 Ft 
      ",Windows 10 Home,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/ideapad-yoga-510-80vb0094hv-p357336855/,AMD Radeon R5 M430,8 GB,Dedikált,7500U,2133 MHz,"14"""
,<title>Dell Vostro 3568 V3568-17 Notebook Árak - Dell Vostro 3568 V3568-17 Laptop Akció</title>,2 GB,2.7 GHz,,"
          199 674 Ft-tól
      ",Linux,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/dell/vostro-3568-v3568-17-p357412031/,AMD Radeon R5 M420X,4 GB,Dedikált,7500U,2400 MHz,"15.6"""
,<title>ASUS X751NV-TY024 Notebook Árak - ASUS X751NV-TY024 Laptop Akció</title>,2 GB,1.10 GHz,1,"
          119 890 Ft-tól
      ",Endless OS,Intel Pentium,DDR3,1600 x 900,https://www.arukereso.hu/notebook-c3100/asus/x751nv-ty024-p389577475/,GeForce 920MX,4 GB,Dedikált,N4200,1600 MHz,"17.3"""
,<title>Lenovo Legion Y520 80WK009GHV Notebook Árak - Lenovo Legion Y520 80WK009GHV Laptop Akció</title>,4 GB,2.5 GHz,2,"310 000 Ft 
      ",Windows 10 Home,Intel Core i5,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/lenovo/legion-y520-80wk009ghv-p365200843/,Nvidia GeForce GTX 1050,8 GB,Dedikált,7300HQ,2400 MHz,"15.6"""
,<title>Acer Aspire 5 A717-71G-74LF LIN NX.GPGEU.010 Notebook Árak - Acer Aspire 5 A717-71G-74LF LIN NX.GPGEU.010 Laptop Akció</title>,4 GB,2.80 GHz,2,"
          299 888 Ft-tól
      ",Endless OS,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/acer/aspire-5-a717-71g-74lf-lin-nx-gpgeu-010-p388421547/,GeForce GTX 1050 Ti,8 GB,Dedikált,7700HQ,2133 MHz,"17,3"""
,<title>Acer Aspire 7 A715-71G-72WV NX.GP9EU.008 Notebook Árak - Acer Aspire 7 A715-71G-72WV NX.GP9EU.008 Laptop Akció</title>,4 GB,2.8 GHz,2,"
          284 990 Ft-tól
      ",Endless OS,Intel Core i7,DDR4,1920 x 1080,https://www.arukereso.hu/notebook-c3100/acer/aspire-7-a715-71g-72wv-nx-gp9eu-008-p389352351/,GeForce GTX 1050 Ti,8 GB,Dedikált,7700HQ,2133 MHz,"15.6"""
